id_venda,id_cliente,id_produto,quantidade,data_venda,valor_total
1,6,14,5,2025-01-17,124.50
2,13,13,5,2025-04-30,74.50
3,17,9,5,2025-01-03,449.50
4,22,4,5,2025-03-10,999.50
5,25,11,1,2025-03-17,129.90
6,14,6,4,2025-01-01,239.60
7,24,9,5,2025-02-15,449.50
8,17,4,3,2025-06-13,599.70
9,17,7,2,2025-04-06,149.80
10,25,6,5,2025-05-16,299.50
11,30,1,5,2025-03-24,449.50
12,16,1,1,  2025-04-03 , 89.90
13,29,10,2,2025-01-15,79.80
14,8,19,1,2025-01-22,99.90
15,24,16,1,2025-05-17,44.90
16,25,5,2,2025-06-18,"259,80"
17,16,18,2,2025-03-09,"139,80"
18,17,14,2,2025-05-19,49.80
19,25,7,3,2025-04-13,224.70
20,22,12,4,13/05/2025,639.60
21,15,4,,2025-02-27,399.80
22,3,11,1,2025-05-31,"129,90"
23,18,8,5,2025-02-26,149.50
24,1,3,1,28/02/2025,39.90
25,3,2,3,19/01/2025,149.70
26,17,8,3,21/06/2025,89.70
27,16,7,5,2025-02-03,374.50
28,24,19,5,2025-05-02,499.50
29,8,16,4,2025-02-18,"179,60"
30,4,4,4,01/04/2025,799.60
31,14,14,4,  14/01/2025 , 99.60
32,22,4,1,14/04/2025,199.90
33,24,11,1,2025-03-05,129.90
34,7,7,5,2025-04-25,374.50
35,5,14,2,2025-03-13,49.80
36,15,8,1,24/04/2025,
37,26,18,1,2025-01-13,69.90
38,21,18,,24/01/2025,
39,30,8,2,2025-04-15,59.80
40,16,16,,2025-04-13,
41,29,2,2,2025-04-08,99.80
42,9999,13,3,2025-04-27,44.70
43,10,14,5,2025-06-19,124.50
44,23,16,2,2025-02-18,89.80
45,10,7,1,29/05/2025,74.90
46,24,18,1,2025-03-22,69.90
47,2,2,5,03/05/2025,249.50
48,17,17,2,2025-01-15,99.80
49,17,3,2,18/01/2025,79.80
50,20,3,2,2025-04-14,79.80
51,4,19,2,2025-05-29,199.80
52,20,2,5,2025-01-21,
53,14,19,5,14/05/2025,499.50
54,11,9,2,2025-06-21,179.80
55,23,11,2,2025-03-09,259.80
